VIN Prefix,VIN Model Year,Vehicle Name,Make,Model-full,Vehicle Manufacturer,Technology,Model Year,Date Added,Date Updated,VIN_Key,Vehicle Category,Vehicle Use Case,Vehicle Class,,Last Refresh Date
ZASPATAW,R,Alfa Romeo Tonale,Alfa Romeo,Tonale,Alfa Romeo,PHEV,2024,7/11/2023,7/11/2023,ZASPATAWR,Light-Duty (Class 1-2),SUV,"Class 1: <6,000 lbs",,8/28/2023 8:48
ZASPATCW,R,Alfa Romeo Tonale,Alfa Romeo,Tonale,Alfa Romeo,PHEV,2024,7/11/2023,7/11/2023,ZASPATCWR,Light-Duty (Class 1-2),SUV,"Class 1: <6,000 lbs",,
ZASPATDW,R,Alfa Romeo Tonale,Alfa Romeo,Tonale,Alfa Romeo,PHEV,2024,7/11/2023,7/11/2023,ZASPATDWR,Light-Duty (Class 1-2),SUV,"Class 1: <6,000 lbs",,
ZASPATSW,R,Alfa Romeo Tonale,Alfa Romeo,Tonale,Alfa Romeo,PHEV,2024,7/11/2023,7/11/2023,ZASPATSWR,Light-Duty (Class 1-2),SUV,"Class 1: <6,000 lbs",,
WAUTPBFF,G,Audi A3 Plug In,Audi,A3 Plug In,Audi of America Inc.,PHEV,2016,9/21/2022,9/21/2022,WAUTPBFFG,Light-Duty (Class 1-2),Sedan,"Class 1: <6,000 lbs",,
WAUMPBFF,G,Audi A3 Plug In,Audi,A3 Plug In,Audi of America Inc.,PHEV,2016,9/21/2022,9/21/2022,WAUMPBFFG,Light-Duty (Class 1-2),Sedan,"Class 1: <6,000 lbs",,
WAUSPBFF,G,Audi A3 Plug In,Audi,A3 Plug In,Audi of America Inc.,PHEV,2016,9/21/2022,9/21/2022,WAUSPBFFG,Light-Duty (Class 1-2),Sedan,"Class 1: <6,000 lbs",,
WAUNPBFF,G,Audi A3 Plug In,Audi,A3 Plug In,Audi of America Inc.,PHEV,2016,9/21/2022,9/21/2022,WAUNPBFFG,Light-Duty (Class 1-2),Sedan,"Class 1: <6,000 lbs",,
WAUVPBFF,G,Audi A3 Plug In,Audi,A3 Plug In,Audi of America Inc.,PHEV,2016,9/21/2022,9/21/2022,WAUVPBFFG,Light-Duty (Class 1-2),Sedan,"Class 1: <6,000 lbs",,
WAUUPBFF,G,Audi A3 Plug In,Audi,A3 Plug In,Audi of America Inc.,PHEV,2016,9/21/2022,9/21/2022,WAUUPBFFG,Light-Duty (Class 1-2),Sedan,"Class 1: <6,000 lbs",,
WAUUPBFF,H,Audi A3 Plug In,Audi,A3 Plug In,Audi of America Inc.,PHEV,2017,9/21/2022,9/21/2022,WAUUPBFFH,Light-Duty (Class 1-2),Sedan,"Class 1: <6,000 lbs",,
WAUTPBFF,H,Audi A3 Plug In,Audi,A3 Plug In,Audi of America Inc.,PHEV,2017,9/21/2022,9/21/2022,WAUTPBFFH,Light-Duty (Class 1-2),Sedan,"Class 1: <6,000 lbs",,
WAUSPBFF,H,Audi A3 Plug In,Audi,A3 Plug In,Audi of America Inc.,PHEV,2017,9/21/2022,9/21/2022,WAUSPBFFH,Light-Duty (Class 1-2),Sedan,"Class 1: <6,000 lbs",,
WAUUPBFF,J,Audi A3 Plug In,Audi,A3 Plug In,Audi of America Inc.,PHEV,2018,9/21/2022,9/21/2022,WAUUPBFFJ,Light-Duty (Class 1-2),Sedan,"Class 1: <6,000 lbs",,
WAUSPBFF,J,Audi A3 Plug In,Audi,A3 Plug In,Audi of America Inc.,PHEV,2018,9/21/2022,9/21/2022,WAUSPBFFJ,Light-Duty (Class 1-2),Sedan,"Class 1: <6,000 lbs",,
WAUTPBFF,J,Audi A3 Plug In,Audi,A3 Plug In,Audi of America Inc.,PHEV,2018,9/21/2022,9/21/2022,WAUTPBFFJ,Light-Duty (Class 1-2),Sedan,"Class 1: <6,000 lbs",,
WAUTPBFF,K,Audi A3 Plug In,Audi,A3 Plug In,Audi of America Inc.,PHEV,2019,9/21/2022,9/21/2022,WAUTPBFFK,Light-Duty (Class 1-2),Sedan,"Class 1: <6,000 lbs",,
WAUSPBFF,K,Audi A3 Plug In,Audi,A3 Plug In,Audi of America Inc.,PHEV,2019,9/21/2022,9/21/2022,WAUSPBFFK,Light-Duty (Class 1-2),Sedan,"Class 1: <6,000 lbs",,
WAUUPBFF,K,Audi A3 Plug In,Audi,A3 Plug In,Audi of America Inc.,PHEV,2019,9/21/2022,9/21/2022,WAUUPBFFK,Light-Duty (Class 1-2),Sedan,"Class 1: <6,000 lbs",,
WAUTPBF2,M,Audi A7 Plug In,Audi,A7 Plug In,Audi of America Inc.,PHEV,2021,9/21/2022,9/21/2022,WAUTPBF2M,Light-Duty (Class 1-2),Sedan,"Class 1: <6,000 lbs",,
WAUVPAF2,M,Audi A7 Plug In,Audi,A7 Plug In,Audi of America Inc.,PHEV,2021,9/21/2022,9/21/2022,WAUVPAF2M,Light-Duty (Class 1-2),Sedan,"Class 1: <6,000 lbs",,
WAUTPAF2,M,Audi A7 Plug In,Audi,A7 Plug In,Audi of America Inc.,PHEV,2021,9/21/2022,9/21/2022,WAUTPAF2M,Light-Duty (Class 1-2),Sedan,"Class 1: <6,000 lbs",,
WAUVPBF2,M,Audi A7 Plug In,Audi,A7 Plug In,Audi of America Inc.,PHEV,2021,9/21/2022,9/21/2022,WAUVPBF2M,Light-Duty (Class 1-2),Sedan,"Class 1: <6,000 lbs",,
WAUTPBF2,N,Audi A7 Plug In,Audi,A7 Plug In,Audi of America Inc.,PHEV,2022,9/21/2022,9/21/2022,WAUTPBF2N,Light-Duty (Class 1-2),Sedan,"Class 1: <6,000 lbs",,
WAUVPBF2,N,Audi A7 Plug In,Audi,A7 Plug In,Audi of America Inc.,PHEV,2022,9/21/2022,9/21/2022,WAUVPBF2N,Light-Duty (Class 1-2),Sedan,"Class 1: <6,000 lbs",,
WAUVPAF2,N,Audi A7 Plug In,Audi,A7 Plug In,Audi of America Inc.,PHEV,2022,9/21/2022,9/21/2022,WAUVPAF2N,Light-Duty (Class 1-2),Sedan,"Class 1: <6,000 lbs",,
WAUTPAF2,N,Audi A7 Plug In,Audi,A7 Plug In,Audi of America Inc.,PHEV,2022,9/21/2022,9/21/2022,WAUTPAF2N,Light-Duty (Class 1-2),Sedan,"Class 1: <6,000 lbs",,
WAU8HAF8,L,Audi A8 Plug In,Audi,A8 Plug In,Audi of America Inc.,PHEV,2020,9/21/2022,9/21/2022,WAU8HAF8L,Light-Duty (Class 1-2),Sedan,"Class 1: <6,000 lbs",,
WAU8HBF8,L,Audi A8 Plug In,Audi,A8 Plug In,Audi of America Inc.,PHEV,2020,9/21/2022,9/21/2022,WAU8HBF8L,Light-Duty (Class 1-2),Sedan,"Class 1: <6,000 lbs",,
WAU8HAF8,M,Audi A8 Plug In,Audi,A8 Plug In,Audi of America Inc.,PHEV,2021,9/21/2022,9/21/2022,WAU8HAF8M,Light-Duty (Class 1-2),Sedan,"Class 1: <6,000 lbs",,
WAU8HBF8,M,Audi A8 Plug In,Audi,A8 Plug In,Audi of America Inc.,PHEV,2021,9/21/2022,9/21/2022,WAU8HBF8M,Light-Duty (Class 1-2),Sedan,"Class 1: <6,000 lbs",,
WA1W2BFZ,N,Audi Q4 Sportback e-tron,Audi,Q4 Sportback e-tron,Audi of America Inc.,BEV,2022,9/21/2022,9/21/2022,WA1W2BFZN,Light-Duty (Class 1-2),SUV,"Class 1: <6,000 lbs",,
WA112BFZ,N,Audi Q4 Sportback e-tron,Audi,Q4 Sportback e-tron,Audi of America Inc.,BEV,2022,9/21/2022,9/21/2022,WA112BFZN,Light-Duty (Class 1-2),SUV,"Class 1: <6,000 lbs",,
WA132BFZ,N,Audi Q4 Sportback e-tron,Audi,Q4 Sportback e-tron,Audi of America Inc.,BEV,2022,9/21/2022,9/21/2022,WA132BFZN,Light-Duty (Class 1-2),SUV,"Class 1: <6,000 lbs",,
WA142BFZ,N,Audi Q4 Sportback e-tron,Audi,Q4 Sportback e-tron,Audi of America Inc.,BEV,2022,9/21/2022,9/21/2022,WA142BFZN,Light-Duty (Class 1-2),SUV,"Class 1: <6,000 lbs",,
WA1V2BFZ,N,Audi Q4 Sportback e-tron,Audi,Q4 Sportback e-tron,Audi of America Inc.,BEV,2022,9/21/2022,9/21/2022,WA1V2BFZN,Light-Duty (Class 1-2),SUV,"Class 1: <6,000 lbs",,
WA122BFZ,P,Audi Q4 Sportback e-tron,Audi,Q4 Sportback e-tron,Audi of America Inc.,BEV,2023,1/20/2023,1/20/2023,WA122BFZP,Light-Duty (Class 1-2),SUV,"Class 1: <6,000 lbs",,
WA142BFZ,P,Audi Q4 Sportback e-tron,Audi,Q4 Sportback e-tron,Audi of America Inc.,BEV,2023,1/20/2023,1/20/2023,WA142BFZP,Light-Duty (Class 1-2),SUV,"Class 1: <6,000 lbs",,
WA132BFZ,P,Audi Q4 Sportback e-tron,Audi,Q4 Sportback e-tron,Audi of America Inc.,BEV,2023,1/20/2023,1/20/2023,WA132BFZP,Light-Duty (Class 1-2),SUV,"Class 1: <6,000 lbs",,
WA1L2BFZ,N,Audi Q4 e-tron,Audi,Q4 e-tron,Audi of America Inc.,BEV,2022,9/21/2022,9/21/2022,WA1L2BFZN,Light-Duty (Class 1-2),SUV,"Class 1: <6,000 lbs",,
WA1J2BFZ,N,Audi Q4 e-tron,Audi,Q4 e-tron,Audi of America Inc.,BEV,2022,9/21/2022,9/21/2022,WA1J2BFZN,Light-Duty (Class 1-2),SUV,"Class 1: <6,000 lbs",,
WA1M2BFZ,N,Audi Q4 e-tron,Audi,Q4 e-tron,Audi of America Inc.,BEV,2022,9/21/2022,9/21/2022,WA1M2BFZN,Light-Duty (Class 1-2),SUV,"Class 1: <6,000 lbs",,
WA1G2BFZ,N,Audi Q4 e-tron,Audi,Q4 e-tron,Audi of America Inc.,BEV,2022,9/21/2022,9/21/2022,WA1G2BFZN,Light-Duty (Class 1-2),SUV,"Class 1: <6,000 lbs",,
WA1H2BFZ,N,Audi Q4 e-tron,Audi,Q4 e-tron,Audi of America Inc.,BEV,2022,9/21/2022,9/21/2022,WA1H2BFZN,Light-Duty (Class 1-2),SUV,"Class 1: <6,000 lbs",,
WA1MCBFZ,P,Audi Q4 e-tron,Audi,Q4 e-tron,Audi of America Inc.,BEV,2023,1/20/2023,1/20/2023,WA1MCBFZP,Light-Duty (Class 1-2),SUV,"Class 1: <6,000 lbs",,
WA1L2BFZ,P,Audi Q4 e-tron,Audi,Q4 e-tron,Audi of America Inc.,BEV,2023,1/20/2023,1/20/2023,WA1L2BFZP,Light-Duty (Class 1-2),SUV,"Class 1: <6,000 lbs",,
WA1M2BFZ,P,Audi Q4 e-tron,Audi,Q4 e-tron,Audi of America Inc.,BEV,2023,1/20/2023,1/20/2023,WA1M2BFZP,Light-Duty (Class 1-2),SUV,"Class 1: <6,000 lbs",,
WA1K2BFZ,P,Audi Q4 e-tron,Audi,Q4 e-tron,Audi of America Inc.,BEV,2023,1/20/2023,1/20/2023,WA1K2BFZP,Light-Duty (Class 1-2),SUV,"Class 1: <6,000 lbs",,
WA1B2BFZ,P,Audi Q4 e-tron,Audi,Q4 e-tron,Audi of America Inc.,BEV,2023,1/20/2023,1/20/2023,WA1B2BFZP,Light-Duty (Class 1-2),SUV,"Class 1: <6,000 lbs",,
WA1KCBFZ,P,Audi Q4 e-tron,Audi,Q4 e-tron,Audi of America Inc.,BEV,2023,1/20/2023,1/20/2023,WA1KCBFZP,Light-Duty (Class 1-2),SUV,"Class 1: <6,000 lbs",,
WA1A2BFZ,P,Audi Q4 e-tron,Audi,Q4 e-tron,Audi of America Inc.,BEV,2023,1/20/2023,1/20/2023,WA1A2BFZP,Light-Duty (Class 1-2),SUV,"Class 1: <6,000 lbs",,
WA1LCBFZ,P,Audi Q4 e-tron,Audi,Q4 e-tron,Audi of America Inc.,BEV,2023,1/20/2023,1/20/2023,WA1LCBFZP,Light-Duty (Class 1-2),SUV,"Class 1: <6,000 lbs",,
WA1BCBFZ,P,Audi Q4 e-tron,Audi,Q4 e-tron,Audi of America Inc.,BEV,2023,1/20/2023,1/20/2023,WA1BCBFZP,Light-Duty (Class 1-2),SUV,"Class 1: <6,000 lbs",,
WA1ACBFZ,P,Audi Q4 e-tron,Audi,Q4 e-tron,Audi of America Inc.,BEV,2023,1/20/2023,1/20/2023,WA1ACBFZP,Light-Duty (Class 1-2),SUV,"Class 1: <6,000 lbs",,
WA1F2AFY,L,Audi Q5 Plug In,Audi,Q5 Plug In,Audi of America Inc.,PHEV,2020,9/21/2022,9/21/2022,WA1F2AFYL,Light-Duty (Class 1-2),SUV,"Class 1: <6,000 lbs",,
WAUSPBFF,L,Audi Q5 Plug In,Audi,Q5 Plug In,Audi of America Inc.,PHEV,2020,9/21/2022,9/21/2022,WAUSPBFFL,Light-Duty (Class 1-2),SUV,"Class 1: <6,000 lbs",,
WA1E2BFY,L,Audi Q5 Plug In,Audi,Q5 Plug In,Audi of America Inc.,PHEV,2020,9/21/2022,9/21/2022,WA1E2BFYL,Light-Duty (Class 1-2),SUV,"Class 1: <6,000 lbs",,
WA1G2AFY,L,Audi Q5 Plug In,Audi,Q5 Plug In,Audi of America Inc.,PHEV,2020,9/21/2022,9/21/2022,WA1G2AFYL,Light-Duty (Class 1-2),SUV,"Class 1: <6,000 lbs",,
WA1E2AFY,L,Audi Q5 Plug In,Audi,Q5 Plug In,Audi of America Inc.,PHEV,2020,9/21/2022,9/21/2022,WA1E2AFYL,Light-Duty (Class 1-2),SUV,"Class 1: <6,000 lbs",,
WA1G2BFY,L,Audi Q5 Plug In,Audi,Q5 Plug In,Audi of America Inc.,PHEV,2020,9/21/2022,9/21/2022,WA1G2BFYL,Light-Duty (Class 1-2),SUV,"Class 1: <6,000 lbs",,
WA1F2BFY,L,Audi Q5 Plug In,Audi,Q5 Plug In,Audi of America Inc.,PHEV,2020,9/21/2022,9/21/2022,WA1F2BFYL,Light-Duty (Class 1-2),SUV,"Class 1: <6,000 lbs",,
WA1G2AFY,M,Audi Q5 Plug In,Audi,Q5 Plug In,Audi of America Inc.,PHEV,2021,9/21/2022,9/21/2022,WA1G2AFYM,Light-Duty (Class 1-2),SUV,"Class 1: <6,000 lbs",,
WA1E2AFY,M,Audi Q5 Plug In,Audi,Q5 Plug In,Audi of America Inc.,PHEV,2021,9/21/2022,9/21/2022,WA1E2AFYM,Light-Duty (Class 1-2),SUV,"Class 1: <6,000 lbs",,
WA1G2BFY,M,Audi Q5 Plug In,Audi,Q5 Plug In,Audi of America Inc.,PHEV,2021,9/21/2022,9/21/2022,WA1G2BFYM,Light-Duty (Class 1-2),SUV,"Class 1: <6,000 lbs",,
WA1E2BFY,M,Audi Q5 Plug In,Audi,Q5 Plug In,Audi of America Inc.,PHEV,2021,9/21/2022,9/21/2022,WA1E2BFYM,Light-Duty (Class 1-2),SUV,"Class 1: <6,000 lbs",,
WA1F2AFY,M,Audi Q5 Plug In,Audi,Q5 Plug In,Audi of America Inc.,PHEV,2021,9/21/2022,9/21/2022,WA1F2AFYM,Light-Duty (Class 1-2),SUV,"Class 1: <6,000 lbs",,
WA1F2BFY,M,Audi Q5 Plug In,Audi,Q5 Plug In,Audi of America Inc.,PHEV,2021,9/21/2022,9/21/2022,WA1F2BFYM,Light-Duty (Class 1-2),SUV,"Class 1: <6,000 lbs",,
WA1E2BFY,N,Audi Q5 Plug In,Audi,Q5 Plug In,Audi of America Inc.,PHEV,2022,9/21/2022,9/21/2022,WA1E2BFYN,Light-Duty (Class 1-2),SUV,"Class 1: <6,000 lbs",,
WA1F2BFY,N,Audi Q5 Plug In,Audi,Q5 Plug In,Audi of America Inc.,PHEV,2022,9/21/2022,9/21/2022,WA1F2BFYN,Light-Duty (Class 1-2),SUV,"Class 1: <6,000 lbs",,
WA1F2AFY,N,Audi Q5 Plug In,Audi,Q5 Plug In,Audi of America Inc.,PHEV,2022,9/21/2022,9/21/2022,WA1F2AFYN,Light-Duty (Class 1-2),SUV,"Class 1: <6,000 lbs",,
WA1G2BFY,N,Audi Q5 Plug In,Audi,Q5 Plug In,Audi of America Inc.,PHEV,2022,9/21/2022,9/21/2022,WA1G2BFYN,Light-Duty (Class 1-2),SUV,"Class 1: <6,000 lbs",,
WA1G2AFY,N,Audi Q5 Plug In,Audi,Q5 Plug In,Audi of America Inc.,PHEV,2022,9/21/2022,9/21/2022,WA1G2AFYN,Light-Duty (Class 1-2),SUV,"Class 1: <6,000 lbs",,
WA1E2AFY,N,Audi Q5 Plug In,Audi,Q5 Plug In,Audi of America Inc.,PHEV,2022,9/21/2022,9/21/2022,WA1E2AFYN,Light-Duty (Class 1-2),SUV,"Class 1: <6,000 lbs",,
WA1G2AFY,P,Audi Q5 Plug In,Audi,Q5 Plug In,Audi of America Inc.,PHEV,2023,12/9/2022,12/9/2022,WA1G2AFYP,Light-Duty (Class 1-2),SUV,"Class 1: <6,000 lbs",,
WA1F2BFY,P,Audi Q5 Plug In,Audi,Q5 Plug In,Audi of America Inc.,PHEV,2023,12/9/2022,12/9/2022,WA1F2BFYP,Light-Duty (Class 1-2),SUV,"Class 1: <6,000 lbs",,
WA1E2BFY,P,Audi Q5 Plug In,Audi,Q5 Plug In,Audi of America Inc.,PHEV,2023,12/9/2022,12/9/2022,WA1E2BFYP,Light-Duty (Class 1-2),SUV,"Class 1: <6,000 lbs",,
WA1E2AFY,P,Audi Q5 Plug In,Audi,Q5 Plug In,Audi of America Inc.,PHEV,2023,12/9/2022,12/9/2022,WA1E2AFYP,Light-Duty (Class 1-2),SUV,"Class 1: <6,000 lbs",,
WA1G2BFY,P,Audi Q5 Plug In,Audi,Q5 Plug In,Audi of America Inc.,PHEV,2023,12/9/2022,12/9/2022,WA1G2BFYP,Light-Duty (Class 1-2),SUV,"Class 1: <6,000 lbs",,
WA1F2AFY,P,Audi Q5 Plug In,Audi,Q5 Plug In,Audi of America Inc.,PHEV,2023,12/9/2022,12/9/2022,WA1F2AFYP,Light-Duty (Class 1-2),SUV,"Class 1: <6,000 lbs",,
WA1BAAGE,R,Audi Q8 e-tron,Audi,Q8 e-tron,Audi of America Inc.,BEV,2024,6/13/2023,6/13/2023,WA1BAAGER,Light-Duty (Class 1-2),SUV,"Class 1: <6,000 lbs",,
WA1EAAGE,R,Audi Q8 e-tron,Audi,Q8 e-tron,Audi of America Inc.,BEV,2024,6/13/2023,6/13/2023,WA1EAAGER,Light-Duty (Class 1-2),SUV,"Class 1: <6,000 lbs",,
WA1DABGE,R,Audi Q8 e-tron,Audi,Q8 e-tron,Audi of America Inc.,BEV,2024,6/13/2023,6/13/2023,WA1DABGER,Light-Duty (Class 1-2),SUV,"Class 1: <6,000 lbs",,
WA1DAAGE,R,Audi Q8 e-tron,Audi,Q8 e-tron,Audi of America Inc.,BEV,2024,6/13/2023,6/13/2023,WA1DAAGER,Light-Duty (Class 1-2),SUV,"Class 1: <6,000 lbs",,
WA16AAGE,R,Audi Q8 e-tron,Audi,Q8 e-tron,Audi of America Inc.,BEV,2024,6/13/2023,6/13/2023,WA16AAGER,Light-Duty (Class 1-2),SUV,"Class 1: <6,000 lbs",,
WA1CABGE,R,Audi Q8 e-tron,Audi,Q8 e-tron,Audi of America Inc.,BEV,2024,6/13/2023,6/13/2023,WA1CABGER,Light-Duty (Class 1-2),SUV,"Class 1: <6,000 lbs",,
WA14ABGE,R,Audi Q8 e-tron,Audi,Q8 e-tron,Audi of America Inc.,BEV,2024,6/13/2023,6/13/2023,WA14ABGER,Light-Duty (Class 1-2),SUV,"Class 1: <6,000 lbs",,
WA1EABGE,R,Audi Q8 e-tron,Audi,Q8 e-tron,Audi of America Inc.,BEV,2024,6/13/2023,6/13/2023,WA1EABGER,Light-Duty (Class 1-2),SUV,"Class 1: <6,000 lbs",,
WA1CAAGE,R,Audi Q8 e-tron,Audi,Q8 e-tron,Audi of America Inc.,BEV,2024,6/13/2023,6/13/2023,WA1CAAGER,Light-Duty (Class 1-2),SUV,"Class 1: <6,000 lbs",,
WA16ABGE,R,Audi Q8 e-tron,Audi,Q8 e-tron,Audi of America Inc.,BEV,2024,6/13/2023,6/13/2023,WA16ABGER,Light-Duty (Class 1-2),SUV,"Class 1: <6,000 lbs",,
WA15ABGE,R,Audi Q8 e-tron,Audi,Q8 e-tron,Audi of America Inc.,BEV,2024,6/13/2023,6/13/2023,WA15ABGER,Light-Duty (Class 1-2),SUV,"Class 1: <6,000 lbs",,
WA15AAGE,R,Audi Q8 e-tron,Audi,Q8 e-tron,Audi of America Inc.,BEV,2024,6/13/2023,6/13/2023,WA15AAGER,Light-Duty (Class 1-2),SUV,"Class 1: <6,000 lbs",,
WA1BABGE,R,Audi Q8 e-tron,Audi,Q8 e-tron,Audi of America Inc.,BEV,2024,6/13/2023,6/13/2023,WA1BABGER,Light-Duty (Class 1-2),SUV,"Class 1: <6,000 lbs",,
WA14AAGE,R,Audi Q8 e-tron,Audi,Q8 e-tron,Audi of America Inc.,BEV,2024,6/13/2023,6/13/2023,WA14AAGER,Light-Duty (Class 1-2),SUV,"Class 1: <6,000 lbs",,
WA1LABGE,K,Audi e-tron,Audi,e-tron,Audi of America Inc.,BEV,2019,9/21/2022,9/21/2022,WA1LABGEK,Light-Duty (Class 1-2),SUV,"Class 2A: 6,001 - 8,500 lbs",,
WA1LAAGE,K,Audi e-tron,Audi,e-tron,Audi of America Inc.,BEV,2019,9/21/2022,9/21/2022,WA1LAAGEK,Light-Duty (Class 1-2),SUV,"Class 2A: 6,001 - 8,500 lbs",,
WA1VAAGE,K,Audi e-tron,Audi,e-tron,Audi of America Inc.,BEV,2019,9/21/2022,9/21/2022,WA1VAAGEK,Light-Duty (Class 1-2),SUV,"Class 2A: 6,001 - 8,500 lbs",,
WA1VABGE,K,Audi e-tron,Audi,e-tron,Audi of America Inc.,BEV,2019,9/21/2022,9/21/2022,WA1VABGEK,Light-Duty (Class 1-2),SUV,"Class 2A: 6,001 - 8,500 lbs",,
WA1AAAGE,M,Audi e-tron,Audi,e-tron,Audi of America Inc.,BEV,2021,9/21/2022,9/21/2022,WA1AAAGEM,Light-Duty (Class 1-2),SUV,"Class 2A: 6,001 - 8,500 lbs",,
WA1LAAGE,M,Audi e-tron,Audi,e-tron,Audi of America Inc.,BEV,2021,9/21/2022,9/21/2022,WA1LAAGEM,Light-Duty (Class 1-2),SUV,"Class 2A: 6,001 - 8,500 lbs",,
WA1VABGE,M,Audi e-tron,Audi,e-tron,Audi of America Inc.,BEV,2021,9/21/2022,9/21/2022,WA1VABGEM,Light-Duty (Class 1-2),SUV,"Class 2A: 6,001 - 8,500 lbs",,
WA1VAAGE,M,Audi e-tron,Audi,e-tron,Audi of America Inc.,BEV,2021,9/21/2022,9/21/2022,WA1VAAGEM,Light-Duty (Class 1-2),SUV,"Class 2A: 6,001 - 8,500 lbs",,
WA1LABGE,M,Audi e-tron,Audi,e-tron,Audi of America Inc.,BEV,2021,9/21/2022,9/21/2022,WA1LABGEM,Light-Duty (Class 1-2),SUV,"Class 2A: 6,001 - 8,500 lbs",,
WA1AABGE,M,Audi e-tron,Audi,e-tron,Audi of America Inc.,BEV,2021,9/21/2022,9/21/2022,WA1AABGEM,Light-Duty (Class 1-2),SUV,"Class 2A: 6,001 - 8,500 lbs",,
WA1LABGE,N,Audi e-tron,Audi,e-tron,Audi of America Inc.,BEV,2022,9/21/2022,9/21/2022,WA1LABGEN,Light-Duty (Class 1-2),SUV,"Class 2A: 6,001 - 8,500 lbs",,
WA1VCAGE,N,Audi e-tron,Audi,e-tron,Audi of America Inc.,BEV,2022,9/21/2022,9/21/2022,WA1VCAGEN,Light-Duty (Class 1-2),SUV,"Class 2A: 6,001 - 8,500 lbs",,
WA1VCBGE,N,Audi e-tron,Audi,e-tron,Audi of America Inc.,BEV,2022,9/21/2022,9/21/2022,WA1VCBGEN,Light-Duty (Class 1-2),SUV,"Class 2A: 6,001 - 8,500 lbs",,
WA1ACBGE,N,Audi e-tron,Audi,e-tron,Audi of America Inc.,BEV,2022,9/21/2022,9/21/2022,WA1ACBGEN,Light-Duty (Class 1-2),SUV,"Class 2A: 6,001 - 8,500 lbs",,
WA1ACAGE,N,Audi e-tron,Audi,e-tron,Audi of America Inc.,BEV,2022,9/21/2022,9/21/2022,WA1ACAGEN,Light-Duty (Class 1-2),SUV,"Class 2A: 6,001 - 8,500 lbs",,
WA1AABGE,N,Audi e-tron,Audi,e-tron,Audi of America Inc.,BEV,2022,9/21/2022,9/21/2022,WA1AABGEN,Light-Duty (Class 1-2),SUV,"Class 2A: 6,001 - 8,500 lbs",,
WA1VAAGE,N,Audi e-tron,Audi,e-tron,Audi of America Inc.,BEV,2022,9/21/2022,9/21/2022,WA1VAAGEN,Light-Duty (Class 1-2),SUV,"Class 2A: 6,001 - 8,500 lbs",,
WA1LAAGE,N,Audi e-tron,Audi,e-tron,Audi of America Inc.,BEV,2022,9/21/2022,9/21/2022,WA1LAAGEN,Light-Duty (Class 1-2),SUV,"Class 2A: 6,001 - 8,500 lbs",,
WA1AAAGE,N,Audi e-tron,Audi,e-tron,Audi of America Inc.,BEV,2022,9/21/2022,9/21/2022,WA1AAAGEN,Light-Duty (Class 1-2),SUV,"Class 2A: 6,001 - 8,500 lbs",,
WA11AAGE,P,Audi e-tron,Audi,e-tron,Audi of America Inc.,BEV,2023,11/23/2022,11/23/2022,WA11AAGEP,Light-Duty (Class 1-2),SUV,"Class 2A: 6,001 - 8,500 lbs",,
WA12AAGE,P,Audi e-tron,Audi,e-tron,Audi of America Inc.,BEV,2023,11/23/2022,11/23/2022,WA12AAGEP,Light-Duty (Class 1-2),SUV,"Class 2A: 6,001 - 8,500 lbs",,
WA11ABGE,P,Audi e-tron,Audi,e-tron,Audi of America Inc.,BEV,2023,12/9/2022,12/9/2022,WA11ABGEP,Light-Duty (Class 1-2),SUV,"Class 2A: 6,001 - 8,500 lbs",,
WA1LCBGE,P,Audi e-tron,Audi,e-tron,Audi of America Inc.,BEV,2023,12/9/2022,12/9/2022,WA1LCBGEP,Light-Duty (Class 1-2),SUV,"Class 2A: 6,001 - 8,500 lbs",,
WA1LABGE,P,Audi e-tron,Audi,e-tron,Audi of America Inc.,BEV,2023,12/9/2022,12/9/2022,WA1LABGEP,Light-Duty (Class 1-2),SUV,"Class 2A: 6,001 - 8,500 lbs",,
WA1VCBGE,P,Audi e-tron,Audi,e-tron,Audi of America Inc.,BEV,2023,12/9/2022,12/9/2022,WA1VCBGEP,Light-Duty (Class 1-2),SUV,"Class 2A: 6,001 - 8,500 lbs",,
WA1ACBGE,P,Audi e-tron,Audi,e-tron,Audi of America Inc.,BEV,2023,12/9/2022,12/9/2022,WA1ACBGEP,Light-Duty (Class 1-2),SUV,"Class 2A: 6,001 - 8,500 lbs",,
WA1VABGE,P,Audi e-tron,Audi,e-tron,Audi of America Inc.,BEV,2023,11/23/2022,11/23/2022,WA1VABGEP,Light-Duty (Class 1-2),SUV,"Class 2A: 6,001 - 8,500 lbs",,
WA1ACAGE,P,Audi e-tron,Audi,e-tron,Audi of America Inc.,BEV,2023,12/9/2022,12/9/2022,WA1ACAGEP,Light-Duty (Class 1-2),SUV,"Class 2A: 6,001 - 8,500 lbs",,
WA1VCAGE,P,Audi e-tron,Audi,e-tron,Audi of America Inc.,BEV,2023,12/9/2022,12/9/2022,WA1VCAGEP,Light-Duty (Class 1-2),SUV,"Class 2A: 6,001 - 8,500 lbs",,
WA1AAAGE,P,Audi e-tron,Audi,e-tron,Audi of America Inc.,BEV,2023,12/9/2022,12/9/2022,WA1AAAGEP,Light-Duty (Class 1-2),SUV,"Class 2A: 6,001 - 8,500 lbs",,
